,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
379,CANYON LAKE,2018-Q2,477500,4/1/2018,1827.895929,382000,549.125,2530.321432,101212.8573,0.356853567
379,CARLSBAD,2018-Q2,875000,4/1/2018,3701.802969,7.00E+05,1006.25,4636.714666,185468.5866,0.248741097
379,CARMICHAEL,2018-Q2,416500,4/1/2018,1735.873709,333200,478.975,2207.076181,88283.04724,0.377969325
379,CARSON,2018-Q2,545000,4/1/2018,2331.926729,436000,626.75,2888.010849,115520.434,0.310162852
379,CASTRO VALLEY,2018-Q2,895000,4/1/2018,3624.420647,716000,1029.25,4742.696716,189707.8686,0.215600713
379,CATHEDRAL CITY,2018-Q2,292000,4/1/2018,1208.837354,233600,335.8,1547.337923,61893.51691,0.393546567
379,CERES,2018-Q2,297000,4/1/2018,1294.585332,237600,341.55,1573.833435,62953.33741,0.465731571
379,CHICO,2018-Q2,339000,4/1/2018,1422.161593,271200,389.85,1796.395739,71855.82957,0.362119103
379,CHINO,2018-Q2,480000,4/1/2018,1979.843439,384000,552,2543.569188,101742.7675,0.368976023
379,CHINO HILLS,2018-Q2,639900,4/1/2018,2781.371621,511920,735.885,3390.895674,135635.827,0.351795248
379,CHOWCHILLA,2018-Q2,235000,4/1/2018,1091.718164,188000,270.25,1245.289082,49811.56327,0.406964557
379,CHULA VISTA,2018-Q2,5.00E+05,4/1/2018,2175.070671,4.00E+05,575,2649.551238,105982.0495,19.70275835
379,CITRUS HEIGHTS,2018-Q2,330900,4/1/2018,1380.333311,264720,380.535,1753.473009,70138.92037,0.400220003
379,CLAREMONT,2018-Q2,682500,4/1/2018,2973.99086,546000,784.875,3616.63744,144665.4976,0.32835763
379,CLAYTON,2018-Q2,772500,4/1/2018,3342.079743,618000,888.375,4093.556662,163742.2665,0.411099088
379,CLEARLAKE,2018-Q2,153500,4/1/2018,690.1666553,122800,176.525,813.41223,32536.4892,0.445524668
379,CLOVERDALE,2018-Q2,553500,4/1/2018,2551.52521,442800,636.525,2933.05322,117322.1288,0.278256949
379,CLOVIS,2018-Q2,340000,4/1/2018,1363.601998,272000,391,1801.694842,72067.79367,0.504044947
379,COACHELLA,2018-Q2,253500,4/1/2018,1070.804023,202800,291.525,1343.322478,53732.8991,0.3772875
