"","region","Quarter","Price","QuarterEnding","pmt","principal","t_i","pti","min_inc","HAI"
"78","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"79","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"80","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"81","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"82","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"83","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"84","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"85","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"86","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"87","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"88","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"89","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"90","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"91","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"92","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"93","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"94","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"95","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"96","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"97","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"98","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
"99","BURBANK","2017-Q1",650000,2017-01-01,2591.68476299532,520000,747.5,3339.18476299532,133567.390519813,0.397421162434597
