,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
407,BAY POINT,2018-Q1,410000,1/1/2018,1701.132015,328000,471.5,2172.632015,86905.2806,0.297287202
785,BAY POINT,2017-Q2,361000,4/1/2017,1497.825994,288800,415.15,1912.975994,76519.03975,0.317794519
29,BAY POINT,2017-Q4,5.00E+05,10/1/2017,2074.551238,4.00E+05,575,2649.551238,105982.0495,0.208606194
407,BAY POINT,2017-Q3,410000,7/1/2017,1701.132015,328000,471.5,2172.632015,86905.2806,0.297287202
29,BAY POINT,2017-Q1,338500,1/1/2017,1349.66968,270800,389.275,1738.94468,69557.78722,0.360365836
30,BEAUMONT,2018-Q2,333000,4/1/2018,1381.651124,266400,382.95,1764.601124,70584.04497,0.518520287
408,BEAUMONT,2018-Q1,318250,1/1/2018,1320.451863,254600,365.9875,1686.439363,67457.57451,0.538511292
786,BEAUMONT,2017-Q2,309999.5,4/1/2017,1286.219693,247999.6,356.499425,1642.719118,65708.76471,0.529711963
30,BEAUMONT,2017-Q4,333000,10/1/2017,1381.651124,266400,382.95,1764.601124,70584.04497,0.518520287
408,BEAUMONT,2017-Q3,318250,7/1/2017,1320.451863,254600,365.9875,1686.439363,67457.57451,0.538511292
30,BEAUMONT,2017-Q1,3.00E+05,1/1/2017,1196.162198,240000,345,1541.162198,61646.48793,0.555301305
31,BELMONT,2018-Q2,1761750,4/1/2018,7309.681286,1409400,2026.0125,9335.693786,373427.7514,0.175550987
409,BELMONT,2018-Q1,1775000,1/1/2018,7364.656894,1420000,2041.25,9405.906894,376236.2758,0.172375662
787,BELMONT,2017-Q2,1630000,4/1/2017,6763.037035,1304000,1874.5,8637.537035,345501.4814,0.17605531
31,BELMONT,2017-Q4,1761750,10/1/2017,7309.681286,1409400,2026.0125,9335.693786,373427.7514,0.175550987
409,BELMONT,2017-Q3,1775000,7/1/2017,7364.656894,1420000,2041.25,9405.906894,376236.2758,0.172375662
31,BELMONT,2017-Q1,1570000,1/1/2017,6259.915504,1256000,1805.5,8065.415504,322616.6202,0.184687053
32,BENICIA,2018-Q2,655000,4/1/2018,2717.662121,524000,753.25,3470.912121,138836.4849,0.332015667
410,BENICIA,2018-Q1,575000,1/1/2018,2385.733923,460000,661.25,3046.983923,121879.3569,0.394336551
788,BENICIA,2017-Q2,615000,4/1/2017,2551.698022,492000,707.25,3258.948022,130357.9209,0.33286624
32,BENICIA,2017-Q4,655000,10/1/2017,2717.662121,524000,753.25,3470.912121,138836.4849,0.332015667
410,BENICIA,2017-Q3,575000,7/1/2017,2385.733923,460000,661.25,3046.983923,121879.3569,0.394336551
32,BENICIA,2017-Q1,538000,1/1/2017,2145.117542,430400,618.7,2763.817542,110552.7017,0.41560997
33,BERKELEY,2018-Q2,1325000,4/1/2018,5497.56078,1060000,1523.75,7021.31078,280852.4312,0.118971052
411,BERKELEY,2018-Q1,1150000,1/1/2018,4771.467847,920000,1322.5,6093.967847,243758.7139,0.133322507
789,BERKELEY,2017-Q2,1217000,4/1/2017,5049.457713,973600,1399.55,6449.007713,257960.3085,0.105688465
33,BERKELEY,2017-Q4,1325000,10/1/2017,5497.56078,1060000,1523.75,7021.31078,280852.4312,0.118971052
411,BERKELEY,2017-Q3,1150000,7/1/2017,4771.467847,920000,1322.5,6093.967847,243758.7139,0.133322507
33,BERKELEY,2017-Q1,1072500,1/1/2017,4276.279859,858000,1233.375,5509.654859,220386.1944,0.134536824
34,BERMUDA DUNES,2018-Q2,328921.5,4/1/2018,1364.72901,263137.2,378.259725,1742.988735,69719.5494,0.483496214
412,BERMUDA DUNES,2018-Q1,369000,1/1/2018,1531.018813,295200,424.35,1955.368813,78214.75254,0.427553584
790,BERMUDA DUNES,2017-Q2,348750,4/1/2017,1446.999488,279000,401.0625,1848.061988,73922.47953,0.421010371
34,BERMUDA DUNES,2017-Q4,328921.5,10/1/2017,1364.72901,263137.2,378.259725,1742.988735,69719.5494,0.483496214
412,BERMUDA DUNES,2017-Q3,369000,7/1/2017,1531.018813,295200,424.35,1955.368813,78214.75254,0.427553584
34,BERMUDA DUNES,2017-Q1,302500,1/1/2017,1206.130217,242000,347.875,1554.005217,62160.20866,0.489236016
35,BLOOMINGTON,2018-Q2,342500,4/1/2018,1421.067598,274000,393.875,1814.942598,72597.70391,0.354334441
413,BLOOMINGTON,2018-Q1,304000,1/1/2018,1261.327153,243200,349.6,1610.927153,64437.0861,0.415054084
791,BLOOMINGTON,2017-Q2,305000,4/1/2017,1265.476255,244000,350.75,1616.226255,64649.0502,0.399802434
35,BLOOMINGTON,2017-Q4,342500,10/1/2017,1421.067598,274000,393.875,1814.942598,72597.70391,0.354334441
413,BLOOMINGTON,2017-Q3,304000,7/1/2017,1261.327153,243200,349.6,1610.927153,64437.0861,0.415054084
35,BLOOMINGTON,2017-Q1,290000,1/1/2017,1156.290125,232000,333.5,1489.790125,59591.605,0.439292796
36,BONITA,2018-Q2,710000,4/1/2018,2945.862758,568000,816.5,3762.362758,150494.5103,0.263649828
414,BONITA,2018-Q1,699500,1/1/2018,2902.297182,559600,804.425,3706.722182,148268.8873,0.269652458
792,BONITA,2017-Q2,638500,4/1/2017,2649.201931,510800,734.275,3383.476931,135339.0772,0.328670372
36,BONITA,2017-Q4,710000,10/1/2017,2945.862758,568000,816.5,3762.362758,150494.5103,0.263649828
414,BONITA,2017-Q3,699500,7/1/2017,2902.297182,559600,804.425,3706.722182,148268.8873,0.269652458
36,BONITA,2017-Q1,621800,1/1/2017,2479.245516,497440,715.07,3194.315516,127772.6207,0.354684065
37,BOULDER CREEK,2018-Q2,620000,4/1/2018,2572.443535,496000,713,3285.443535,131417.7414,0.244119439
415,BOULDER CREEK,2018-Q1,605000,1/1/2018,2510.206998,484000,695.75,3205.956998,128238.2799,0.255243452
793,BOULDER CREEK,2017-Q2,6.00E+05,4/1/2017,2489.461485,480000,690,3179.461485,127178.4594,0.30786171
37,BOULDER CREEK,2017-Q4,620000,10/1/2017,2572.443535,496000,713,3285.443535,131417.7414,0.244119439
415,BOULDER CREEK,2017-Q3,605000,7/1/2017,2510.206998,484000,695.75,3205.956998,128238.2799,0.255243452
37,BOULDER CREEK,2017-Q1,575000,1/1/2017,2292.644213,460000,661.25,2953.894213,118155.7685,0.350110952
38,BREA,2018-Q2,699999,4/1/2018,2904.367584,559999.2,804.99885,3709.366434,148374.6574,0.265698066
416,BREA,2018-Q1,675000,1/1/2018,2800.644171,540000,776.25,3576.894171,143075.7668,0.283581821
794,BREA,2017-Q2,675000,4/1/2017,2800.644171,540000,776.25,3576.894171,143075.7668,0.246344865
38,BREA,2017-Q4,699999,10/1/2017,2904.367584,559999.2,804.99885,3709.366434,148374.6574,0.265698066
416,BREA,2017-Q3,675000,7/1/2017,2800.644171,540000,776.25,3576.894171,143075.7668,0.283581821
38,BREA,2017-Q1,686250,1/1/2017,2736.221029,549000,789.1875,3525.408529,141016.3411,0.251982097
39,BRENTWOOD,2018-Q2,595000,4/1/2018,2468.715973,476000,684.25,3152.965973,126118.6389,0.40758808
417,BRENTWOOD,2018-Q1,610000,1/1/2018,2530.95251,488000,701.5,3232.45251,129298.1004,0.39094296
795,BRENTWOOD,2017-Q2,567500,4/1/2017,2354.615655,454000,652.625,3007.240655,120289.6262,0.37430256
39,BRENTWOOD,2017-Q4,595000,10/1/2017,2468.715973,476000,684.25,3152.965973,126118.6389,0.40758808
417,BRENTWOOD,2017-Q3,610000,7/1/2017,2530.95251,488000,701.5,3232.45251,129298.1004,0.39094296
39,BRENTWOOD,2017-Q1,555000,1/1/2017,2212.900067,444000,638.25,2851.150067,114046.0027,0.401123589
40,BUENA PARK,2018-Q2,585500,4/1/2018,2429.299499,468400,673.325,3102.624499,124104.98,0.229681861
418,BUENA PARK,2018-Q1,570000,1/1/2018,2364.988411,456000,655.5,3020.488411,120819.5364,0.242213297
796,BUENA PARK,2017-Q2,556750,4/1/2017,2310.012803,445400,640.2625,2950.275303,118011.0121,0.255653745
