"","region","Quarter","Price","QuarterEnding","pmt","principal","t_i","pti","min_inc","HAI"
"185","MANHATTAN BEACH","2018-Q2",2400000,2018-04-01,9957.84594123494,1920000,2760,12717.8459412349,508713.837649398,0
"186","MANTECA","2018-Q2",401500,2018-04-01,1665.8646439191,321200,461.725,2127.5896439191,85103.5857567638,0.390807093677591
"187","MARINA","2018-Q2",592500,2018-04-01,2458.34321674238,474000,681.375,3139.71821674238,125588.728669695,0.15846377638401
"188","MARIPOSA","2018-Q2",310000,2018-04-01,1286.22176740951,248000,356.5,1642.72176740951,65708.8706963805,0.270732967314462
"189","MARTINEZ","2018-Q2",590000,2018-04-01,2447.97046055359,472000,678.5,3126.47046055359,125058.818422144,0.344199745289302
"190","MARYSVILLE","2018-Q2",250950,2018-04-01,1041.21726623038,200760,288.5925,1329.80976623038,53192.3906492152,0.419544714634693
"191","MCKINLEYVILLE","2018-Q2",332000,2018-04-01,1377.50202187083,265600,381.8,1759.30202187083,70372.0808748334,0.387185155872327
"192","MENIFEE","2018-Q2",365500,2018-04-01,1516.49695480057,292400,420.325,1936.82195480057,77472.8781920229,0.400138414953279
"193","MENLO PARK","2018-Q2",2451000,2018-04-01,10169.4501674862,1960800,2818.65,12988.1001674862,519524.006699447,0
"194","MERCED","2018-Q2",257706.5,2018-04-01,1069.25067710619,206165.2,296.362475,1365.61315210619,54624.5260842477,0.384117638992186
"195","MILL VALLEY","2018-Q2",1696000,2018-04-01,7036.87779847269,1356800,1950.4,8987.27779847269,359491.111938908,0.256670345294238
"196","MILLBRAE","2018-Q2",1650043,2018-04-01,6846.19749600547,1320034.4,1897.54945,8743.74694600547,349749.877840219,0.113358529854472
"197","MILPITAS","2018-Q2",1135000,2018-04-01,4709.23130970903,908000,1305.25,6014.48130970903,240579.252388361,0.162440459138853
"198","MISSION VIEJO","2018-Q2",720000,2018-04-01,2987.35378237048,576000,828,3815.35378237048,152614.151294819,0.320213861201398
"199","MODESTO","2018-Q2",292000,2018-04-01,1211.53792285025,233600,335.8,1547.33792285025,61893.5169140101,0.47261633586234
"200","MONROVIA","2018-Q2",710000,2018-04-01,2945.86275761534,568000,816.5,3762.36275761534,150494.510304613,0.187923318532242
"201","MONTCLAIR","2018-Q2",420000,2018-04-01,1742.62303971612,336000,483,2225.62303971612,89024.9215886446,0.262687264427435
"202","MONTEREY","2018-Q2",820000,2018-04-01,3402.26402992194,656000,943,4345.26402992194,173810.561196878,0.156384217425693
"203","MONTEREY PARK","2018-Q2",584000,2018-04-01,2423.0758457005,467200,671.6,3094.6758457005,123787.03382802,0.227338116832309
"204","MOORPARK","2018-Q2",699900,2018-04-01,2903.95682261264,559920,804.885,3708.84182261264,148353.672904506,0.362345717917112
"205","MORAGA","2018-Q2",1120500,2018-04-01,4649.06932381406,896400,1288.575,5937.64432381406,237505.772952563,0.352783049802499
"206","MORENO VALLEY","2018-Q2",325000,2018-04-01,1348.45830454223,260000,373.75,1722.20830454223,68888.3321816893,0.441615198919618
