"","region","Price2018-Q3","Price2018-Q2","principal2018-Q3","pmt2018-Q3","t_i2018-Q3","pti2018-Q3","min_inc2018-Q3","HAI2018-Q3","principal2018-Q2","pmt2018-Q2","t_i2018-Q2","pti2018-Q2","min_inc2018-Q2","HAI2018-Q2","Price2017-Q3","principal2017-Q3","pmt2017-Q3","t_i2017-Q3","pti2017-Q3","min_inc2017-Q3","HAI2017-Q3"
"46","BANNING",270000,260000,216000,1129.36361772102,310.5,1439.86361772102,57594.5447088407,0.40467484136337,208000,1087.5353355832,299,1386.5353355832,55461.4134233281,0.420447300936342,239950,191960,1003.66962989688,275.9425,1279.61212989688,51184.4851958753,0.41937249257779
"47","BARSTOW",142900,144999,114320,597.726151749383,164.335,762.061151749383,30482.4460699753,0.601414873231377,115999.2,606.505908170111,166.74885,773.254758170111,30930.1903268044,0.596207387504775,115000,92000,481.025244584878,132.25,613.275244584878,24531.0097833951,0.634683385329377
"48","BASS LAKE",262500,410000,210000,1097.99240611766,301.875,1399.86740611766,55994.6962447062,0.397810053608631,328000,1714.95956765043,471.5,2186.45956765043,87458.3827060174,0.256491750305381,477500,382000,1997.30047208069,549.125,2546.42547208069,101857.018883228,0.140585588747934
"49","BAY POINT",467500,5e+05,374000,1955.47218994287,537.625,2493.09718994287,99723.8875977149,0.232146776535872,4e+05,2091.41410689077,575,2666.41410689077,106656.564275631,0.206385961430333,404750,323800,1692.99971952808,465.4625,2158.46221952808,86338.4887811232,0.273683393359772
"50","BEAR VALLEY",195062.5,274450,156050,815.912928450763,224.321875,1040.23480345076,41609.3921380305,0.546521225064407,219560,1147.97720327235,315.6175,1463.59470327235,58543.7881308938,0.424244696415744,341250,273000,1427.39012795295,392.4375,1819.82762795295,72793.1051181181,0.51709452305678
"51","BEAUMONT",339900,333000,271920,1421.74330986435,390.885,1812.62830986435,72505.1323945739,0.507183103496558,266400,1392.88179518925,382.95,1775.83179518925,71033.2718075702,0.515332393544759,310000,248000,1296.67674627228,356.5,1653.17674627228,66127.0698508912,0.528319110568713
"52","BECKWOURTH",1450000,430000,1160000,6065.10090998324,1667.5,7732.60090998324,309304.03639933,0.0954413947465952,344000,1798.61613192607,494.5,2293.11613192607,91724.6452770426,0.304631032550173,412500,330000,1725.41663818489,474.375,2199.79163818489,87991.6655273955,0.233601401952085
"53","BELL",450000,430000,360000,1882.2726962017,517.5,2399.7726962017,95990.9078480678,0.124266776889859,344000,1798.61613192607,494.5,2293.11613192607,91724.6452770426,0.139918164106014,412500,330000,1725.41663818489,474.375,2199.79163818489,87991.6655273955,0.125482306442211
"54","BELL CANYON",1665000,1399000,1332000,6964.40897594627,1914.75,8879.15897594627,355166.359037851,0.328972905361385,1119200,5851.77667108038,1608.85,7460.62667108038,298425.066843215,0.36346097454058,1525000,1220000,6378.81302601686,1753.75,8132.56302601686,325302.521040674,0.272531112388482
"55","BELL GARDENS",448000,527500,358400,1873.90703977413,515.2,2389.10703977413,95564.2815909653,0.15120417104058,422000,2206.44188276977,606.625,2813.06688276977,112522.675310791,0.0982189934591548,380000,304000,1589.47472123699,437,2026.47472123699,81058.9888494795,0.165272341030262
